Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
Anthony Bennett,2016-2017,REG,Nets,23,11.48,5.00,1.09,2.30,3.39,0.52,0.22,0.13,0.52,0.78,1.65,4.00,0.413,0.57,2.09,0.271,1.13,1.57,0.722
Trey Burke,2016-2017,REG,Wizards,57,12.33,5.00,0.12,0.70,0.82,1.75,0.19,0.09,0.84,0.95,2.04,4.47,0.455,0.54,1.23,0.443,0.39,0.51,0.759
Aaron Brooks,2016-2017,REG,Pacers,65,13.75,4.95,0.28,0.78,1.06,1.92,0.38,0.14,1.02,1.43,1.86,4.62,0.403,0.74,1.97,0.375,0.49,0.62,0.800
Juan Hernangomez,2016-2017,REG,Nuggets,62,13.58,4.92,0.69,2.32,3.02,0.47,0.48,0.19,0.50,1.00,1.63,3.61,0.451,0.74,1.82,0.407,0.92,1.23,0.750
Mario Hezonja,2016-2017,REG,Magic,65,14.77,4.88,0.31,1.94,2.25,0.95,0.46,0.23,0.89,1.14,1.80,5.08,0.355,0.66,2.22,0.299,0.62,0.77,0.800
Tiago Splitter,2016-2017,REG,76ers,8,9.50,4.88,1.00,1.75,2.75,0.50,0.13,0.13,0.75,1.00,1.75,3.88,0.452,0.25,0.75,0.333,1.13,1.38,0.818
Toney Douglas,2016-2017,REG,Grizzlies,24,16.41,4.88,0.54,2.00,2.54,2.33,0.75,0.21,0.88,2.08,1.79,4.88,0.368,0.29,1.75,0.167,1.00,1.21,0.828
Aron Baynes,2016-2017,REG,Pistons,75,15.50,4.87,1.48,2.96,4.44,0.43,0.23,0.52,0.67,2.21,1.91,3.72,0.513,0.00,0.00,0.000,1.05,1.25,0.840
Josh McRoberts,2016-2017,REG,Heat,22,17.33,4.86,1.05,2.32,3.36,2.27,0.45,0.18,1.05,1.41,2.00,5.36,0.373,0.59,1.41,0.419,0.27,0.41,0.667
Jarell Eddie,2016-2017,REG,Suns,5,12.47,4.80,0.20,1.20,1.40,0.00,0.20,0.00,0.20,0.20,1.20,3.80,0.316,0.80,3.20,0.250,1.60,1.80,0.889
Cristiano Felicio,2016-2017,REG,Bulls,66,15.76,4.79,1.88,2.83,4.71,0.61,0.38,0.26,0.50,1.67,1.94,3.35,0.579,0.00,0.00,0.000,0.91,1.41,0.645
Luke Babbitt,2016-2017,REG,Heat,68,15.66,4.76,0.18,1.90,2.07,0.53,0.29,0.16,0.37,1.74,1.66,4.13,0.402,1.28,3.09,0.414,0.16,0.22,0.733
Kevin Seraphin,2016-2017,REG,Pacers,49,11.41,4.73,0.84,2.06,2.90,0.47,0.14,0.41,0.59,1.35,2.22,4.04,0.551,0.00,0.04,0.000,0.29,0.45,0.636
David West,2016-2017,REG,Warriors,68,12.56,4.65,0.69,2.29,2.99,2.22,0.62,0.71,1.15,1.54,1.99,3.71,0.536,0.04,0.12,0.375,0.63,0.82,0.768
Isaiah Canaan,2016-2017,REG,Bulls,39,15.18,4.64,0.15,1.13,1.28,0.95,0.56,0.03,0.54,0.90,1.62,4.44,0.364,0.64,2.41,0.266,0.77,0.85,0.909
Boris Diaw,2016-2017,REG,Jazz,73,17.57,4.63,0.63,1.53,2.16,2.33,0.25,0.12,1.19,1.14,2.00,4.48,0.446,0.27,1.11,0.247,0.36,0.48,0.743
Roy Hibbert,2016-2017,REG,"Hornets, Bucks, Nuggets",48,14.21,4.60,1.13,2.04,3.17,0.44,0.17,0.96,0.67,2.08,1.67,3.06,0.544,0.00,0.00,0.000,1.27,1.56,0.813
