Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
Jeff Withey,2016-2017,REG,Jazz,51,8.48,2.86,1.02,1.35,2.37,0.14,0.31,0.63,0.27,1.02,1.08,2.02,0.534,0.00,0.02,0.000,0.71,0.94,0.750
James Michael McAdoo,2016-2017,REG,Warriors,52,8.80,2.83,0.65,1.10,1.75,0.35,0.35,0.56,0.37,0.90,1.19,2.25,0.530,0.04,0.15,0.250,0.40,0.81,0.500
Okaro White,2016-2017,REG,Heat,35,13.46,2.80,0.71,1.63,2.34,0.60,0.29,0.29,0.51,1.49,0.94,2.49,0.379,0.34,0.97,0.353,0.57,0.63,0.909
Marcus Georges-Hunt,2016-2017,REG,"Heat, Magic",5,9.50,2.80,0.20,1.60,1.80,0.60,0.20,0.00,0.40,1.00,0.40,1.40,0.286,0.20,0.40,0.500,1.80,2.00,0.900
Chinanu Onuaku,2016-2017,REG,Rockets,5,10.32,2.80,0.40,1.60,2.00,0.60,0.60,0.20,0.80,1.20,1.00,1.40,0.714,0.00,0.00,0.000,0.80,0.80,1.000
Nicolas Brussino,2016-2017,REG,Mavericks,54,9.66,2.78,0.48,1.28,1.76,0.87,0.31,0.15,0.48,0.80,0.96,2.61,0.369,0.54,1.76,0.305,0.31,0.41,0.773
James Jones,2016-2017,REG,Cavaliers,48,7.93,2.75,0.06,0.71,0.77,0.29,0.13,0.21,0.21,0.77,0.92,1.92,0.478,0.65,1.38,0.470,0.27,0.42,0.650
Axel Toupane,2016-2017,REG,"Bucks, Pelicans",4,11.87,2.75,0.00,0.25,0.25,0.00,0.25,0.25,0.00,1.50,1.25,2.25,0.556,0.25,1.00,0.250,0.00,0.00,0.000
Kyle Singler,2016-2017,REG,Thunder,32,12.04,2.75,0.25,1.25,1.50,0.28,0.22,0.16,0.34,0.91,1.06,2.59,0.410,0.22,1.16,0.189,0.41,0.53,0.765
Wesley Johnson,2016-2017,REG,Clippers,68,11.91,2.74,0.38,2.28,2.66,0.34,0.43,0.44,0.26,1.22,1.07,2.94,0.365,0.43,1.74,0.246,0.16,0.25,0.647
Marcelo Huertas,2016-2017,REG,Lakers,23,10.29,2.74,0.09,0.96,1.04,2.26,0.43,0.09,0.83,0.70,1.09,2.96,0.368,0.17,0.83,0.211,0.39,0.74,0.529
Omer Asik,2016-2017,REG,Pelicans,31,15.55,2.74,1.55,3.71,5.26,0.48,0.16,0.32,0.45,1.65,1.00,2.10,0.477,0.00,0.00,0.000,0.74,1.26,0.590
DeAndre Bembry,2016-2017,REG,Hawks,37,10.02,2.73,0.38,1.22,1.59,0.76,0.22,0.14,0.43,0.57,1.27,2.65,0.480,0.03,0.49,0.055,0.16,0.43,0.375
Tomas Satoransky,2016-2017,REG,Wizards,57,12.62,2.70,0.44,1.02,1.46,1.61,0.46,0.11,0.67,1.05,1.07,2.58,0.415,0.16,0.65,0.243,0.40,0.58,0.697
Christian Wood,2016-2017,REG,Hornets,13,8.23,2.69,1.08,1.15,2.23,0.15,0.23,0.46,0.54,0.85,0.92,1.77,0.522,0.00,0.38,0.000,0.85,1.15,0.733
Andrew Nicholson,2016-2017,REG,"Wizards, Nets",38,9.00,2.63,0.39,1.21,1.61,0.26,0.42,0.16,0.45,1.45,1.13,2.92,0.387,0.13,0.71,0.185,0.24,0.37,0.643
Bryn Forbes,2016-2017,REG,Spurs,36,7.91,2.61,0.06,0.58,0.64,0.64,0.03,0.00,0.31,0.56,1.00,2.75,0.364,0.47,1.47,0.321,0.14,0.17,0.833
Kevon Looney,2016-2017,REG,Warriors,53,8.43,2.55,0.83,1.51,2.34,0.55,0.28,0.32,0.32,1.21,1.06,2.02,0.523,0.04,0.17,0.222,0.40,0.64,0.618
Miles Plumlee,2016-2017,REG,"Bucks, Hornets",45,10.77,2.51,0.84,1.27,2.11,0.47,0.40,0.29,0.67,1.62,0.98,2.04,0.478,0.00,0.00,0.000,0.56,0.87,0.641
Pat Connaughton,2016-2017,REG,Trail Blazers,39,8.10,2.51,0.26,1.08,1.33,0.72,0.15,0.05,0.44,0.59,0.95,1.85,0.514,0.44,0.85,0.515,0.18,0.23,0.778
Mike Scott,2016-2017,REG,Hawks,18,10.83,2.50,0.56,1.50,2.06,0.94,0.22,0.17,0.44,0.67,0.94,3.28,0.288,0.22,1.50,0.148,0.39,0.44,0.875
Raul Neto,2016-2017,REG,Jazz,40,8.65,2.50,0.10,0.65,0.75,0.85,0.53,0.13,0.38,1.20,1.03,2.28,0.451,0.25,0.78,0.323,0.20,0.23,0.889
Bobby Brown,2016-2017,REG,Rockets,25,4.92,2.48,0.00,0.24,0.24,0.56,0.04,0.00,0.20,0.20,0.92,2.40,0.383,0.56,1.40,0.400,0.08,0.08,1.000
DeAndre Liggins,2016-2017,REG,"Cavaliers, Mavericks",62,12.53,2.45,0.32,1.42,1.74,0.87,0.76,0.23,0.68,1.31,0.89,2.29,0.387,0.27,0.74,0.370,0.40,0.65,0.625
James Young,2016-2017,REG,Celtics,29,7.59,2.34,0.21,0.69,0.90,0.14,0.34,0.07,0.14,0.52,0.86,2.00,0.431,0.41,1.21,0.343,0.21,0.31,0.667
Chris Andersen,2016-2017,REG,Cavaliers,12,9.48,2.33,0.75,1.83,2.58,0.42,0.42,0.58,0.42,1.67,0.75,1.83,0.409,0.00,0.25,0.000,0.83,1.17,0.714
Greivis Vasquez,2016-2017,REG,Nets,3,12.86,2.33,0.00,0.67,0.67,1.67,0.33,0.33,0.33,2.00,0.67,2.67,0.250,0.33,1.00,0.333,0.67,1.00,0.667
Metta World Peace,2016-2017,REG,Lakers,25,6.41,2.28,0.20,0.60,0.80,0.44,0.40,0.08,0.28,0.72,0.76,2.72,0.279,0.36,1.52,0.237,0.40,0.64,0.625
Chris McCullough,2016-2017,REG,"Nets, Wizards",16,5.03,2.25,0.56,0.63,1.19,0.13,0.13,0.13,0.19,0.44,1.00,2.00,0.500,0.06,0.44,0.143,0.19,0.31,0.600
Jake Layman,2016-2017,REG,Trail Blazers,35,7.11,2.23,0.17,0.51,0.69,0.31,0.26,0.09,0.31,0.63,0.74,2.54,0.292,0.37,1.46,0.255,0.37,0.49,0.765
AJ Hammons,2016-2017,REG,Mavericks,22,7.42,2.18,0.36,1.27,1.64,0.18,0.05,0.59,0.45,0.95,0.77,1.91,0.405,0.23,0.45,0.500,0.41,0.91,0.450
Treveon Graham,2016-2017,REG,Hornets,27,7.01,2.11,0.19,0.63,0.81,0.22,0.22,0.04,0.11,0.67,0.70,1.48,0.475,0.33,0.56,0.600,0.37,0.56,0.667
Rakeem Christmas,2016-2017,REG,Pacers,28,7.84,2.07,0.93,1.07,2.00,0.14,0.11,0.21,0.29,1.32,0.68,1.54,0.442,0.00,0.00,0.000,0.71,0.96,0.741
Joe Young,2016-2017,REG,Pacers,33,4.10,2.06,0.03,0.48,0.52,0.45,0.12,0.00,0.15,0.15,0.79,2.18,0.361,0.15,0.70,0.217,0.33,0.45,0.733
Gary Neal,2016-2017,REG,Hawks,2,9.17,2.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.50,0.00,3.50,0.000,0.00,1.00,0.000,2.00,2.00,1.000
Demetrius Jackson,2016-2017,REG,Celtics,5,3.40,2.00,0.40,0.40,0.80,0.60,0.00,0.00,0.00,0.00,0.60,0.80,0.750,0.20,0.20,1.000,0.60,1.20,0.500
Manny Harris,2016-2017,REG,Mavericks,4,6.19,2.00,0.75,1.50,2.25,0.50,0.00,0.00,0.50,0.25,0.75,3.75,0.200,0.00,0.50,0.000,0.50,1.00,0.500
Tim Quarterman,2016-2017,REG,Trail Blazers,16,5.00,1.94,0.25,0.63,0.88,0.69,0.13,0.19,0.69,0.38,0.81,1.81,0.448,0.31,0.81,0.385,0.00,0.19,0.000
Udonis Haslem,2016-2017,REG,Heat,16,8.14,1.94,0.50,1.75,2.25,0.38,0.38,0.06,0.50,1.38,0.69,1.44,0.478,0.00,0.19,0.000,0.56,0.94,0.600
Damian Jones,2016-2017,REG,Warriors,10,8.51,1.90,0.90,1.40,2.30,0.00,0.10,0.40,0.60,1.50,0.80,1.60,0.500,0.00,0.00,0.000,0.30,1.00,0.300
Marshall Plumlee,2016-2017,REG,Knicks,21,8.10,1.90,1.10,1.33,2.43,0.48,0.19,0.19,0.57,1.10,0.76,1.43,0.533,0.00,0.00,0.000,0.38,0.90,0.421
Joel Bolomboy,2016-2017,REG,Jazz,12,4.38,1.83,0.33,1.08,1.42,0.17,0.08,0.17,0.17,0.08,0.75,1.33,0.563,0.08,0.33,0.250,0.25,0.50,0.500
Damjan Rudez,2016-2017,REG,Magic,45,6.97,1.82,0.11,0.44,0.56,0.44,0.27,0.02,0.20,0.69,0.69,1.96,0.352,0.44,1.42,0.312,0.00,0.00,0.000
Lamar Patterson,2016-2017,REG,Hawks,5,8.07,1.80,0.20,1.20,1.40,1.20,0.20,0.00,0.80,1.20,0.60,3.00,0.200,0.20,1.20,0.167,0.40,0.60,0.667
John Jenkins,2016-2017,REG,Suns,4,3.23,1.75,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.50,1.25,0.400,0.25,0.50,0.500,0.50,0.50,1.000
Jordan Hill,2016-2017,REG,Timberwolves,7,6.65,1.71,1.14,0.86,2.00,0.00,0.14,0.00,0.57,1.29,0.71,1.86,0.385,0.00,0.00,0.000,0.29,0.29,1.000
Cole Aldrich,2016-2017,REG,Timberwolves,62,8.57,1.69,0.82,1.73,2.55,0.40,0.40,0.37,0.27,1.37,0.73,1.39,0.523,0.00,0.00,0.000,0.24,0.35,0.682
Nick Collison,2016-2017,REG,Thunder,20,6.39,1.65,0.45,1.10,1.55,0.60,0.10,0.10,0.20,0.85,0.70,1.15,0.609,0.00,0.05,0.000,0.25,0.40,0.625
Deyonta Davis,2016-2017,REG,Grizzlies,36,6.61,1.61,0.56,1.11,1.67,0.06,0.08,0.47,0.22,1.11,0.67,1.31,0.511,0.00,0.00,0.000,0.28,0.50,0.556
Bruno Caboclo,2016-2017,REG,Raptors,9,4.48,1.56,0.56,0.56,1.11,0.44,0.22,0.11,0.22,0.44,0.67,1.78,0.375,0.22,0.67,0.333,0.00,0.00,0.000
Ryan Kelly,2016-2017,REG,Hawks,16,6.88,1.56,0.06,1.06,1.13,0.50,0.25,0.31,0.25,0.31,0.50,1.75,0.286,0.25,0.63,0.400,0.31,0.38,0.833
Jordan Mickey,2016-2017,REG,Celtics,25,5.64,1.52,0.52,0.84,1.36,0.28,0.12,0.24,0.36,0.48,0.60,1.36,0.441,0.00,0.04,0.000,0.32,0.56,0.571
Elijah Millsap,2016-2017,REG,Suns,2,11.57,1.50,1.50,1.50,3.00,0.50,0.00,0.00,1.00,1.00,0.50,3.50,0.143,0.00,1.00,0.000,0.50,1.00,0.500
Jarnell Stokes,2016-2017,REG,Nuggets,2,3.28,1.50,0.50,0.50,1.00,1.00,0.50,0.00,0.00,1.50,0.50,0.50,1.000,0.00,0.00,0.000,0.50,1.00,0.500
Diamond Stone,2016-2017,REG,Clippers,7,3.46,1.43,0.14,0.71,0.86,0.00,0.00,0.14,0.29,0.71,0.43,1.86,0.231,0.00,0.00,0.000,0.57,0.57,1.000
Mike Miller,2016-2017,REG,Nuggets,20,7.53,1.40,0.10,1.80,1.90,1.10,0.10,0.00,0.65,0.45,0.45,1.15,0.391,0.40,1.00,0.400,0.10,0.10,1.000
Brice Johnson,2016-2017,REG,Clippers,3,3.07,1.33,0.33,0.67,1.00,0.33,0.67,0.33,0.33,0.00,0.67,2.33,0.286,0.00,0.00,0.000,0.00,0.00,0.000
Joel Anthony,2016-2017,REG,Spurs,19,6.42,1.32,0.42,1.21,1.63,0.16,0.11,0.32,0.21,0.58,0.53,0.84,0.625,0.00,0.00,0.000,0.26,0.42,0.625
Anderson Varejao,2016-2017,REG,Warriors,14,6.56,1.29,0.86,1.07,1.93,0.71,0.21,0.21,0.57,1.14,0.36,1.00,0.357,0.00,0.00,0.000,0.57,0.79,0.727
Daniel Ochefu,2016-2017,REG,Wizards,19,3.94,1.26,0.26,0.89,1.16,0.16,0.11,0.00,0.16,0.89,0.63,1.42,0.444,0.00,0.00,0.000,0.00,0.11,0.000
Stephen Zimmerman,2016-2017,REG,Magic,19,5.67,1.21,0.58,1.26,1.84,0.21,0.11,0.26,0.16,0.89,0.53,1.63,0.323,0.00,0.00,0.000,0.16,0.26,0.600
Ronnie Price,2016-2017,REG,Suns,14,9.58,1.00,0.21,0.57,0.79,1.29,0.79,0.07,0.21,1.00,0.29,1.71,0.167,0.21,1.21,0.176,0.21,0.29,0.750
Mike Tobey,2016-2017,REG,Hornets,2,12.59,1.00,1.00,0.50,1.50,0.50,0.00,0.00,0.50,1.00,0.50,2.00,0.250,0.00,0.00,0.000,0.00,0.00,0.000
CJ Wilcox,2016-2017,REG,Magic,22,4.90,0.95,0.18,0.36,0.55,0.55,0.09,0.05,0.27,0.36,0.36,1.41,0.258,0.14,0.68,0.200,0.09,0.09,1.000
Kyle Wiltjer,2016-2017,REG,Rockets,14,3.13,0.93,0.29,0.43,0.71,0.14,0.21,0.07,0.36,0.29,0.29,1.00,0.286,0.29,0.93,0.308,0.07,0.14,0.500
Georges Niang,2016-2017,REG,Pacers,23,4.03,0.91,0.09,0.65,0.74,0.22,0.13,0.00,0.22,0.26,0.39,1.57,0.250,0.04,0.52,0.083,0.09,0.09,1.000
Alonzo Gee,2016-2017,REG,Nuggets,13,6.88,0.85,0.31,0.85,1.15,0.46,0.38,0.08,0.31,1.08,0.23,1.08,0.214,0.00,0.23,0.000,0.38,0.69,0.556
Larry Sanders,2016-2017,REG,Cavaliers,5,2.54,0.80,0.60,0.20,0.80,0.00,0.20,0.20,0.40,1.00,0.20,0.80,0.250,0.00,0.00,0.000,0.40,0.40,1.000
Isaiah Taylor,2016-2017,REG,Rockets,4,13.00,0.75,0.25,0.50,0.75,0.75,0.25,0.25,0.00,1.50,0.25,1.75,0.143,0.00,0.50,0.000,0.25,0.50,0.500
Steve Novak,2016-2017,REG,Bucks,8,2.74,0.63,0.00,0.38,0.38,0.00,0.00,0.00,0.00,0.13,0.25,0.88,0.286,0.13,0.75,0.167,0.00,0.00,0.000
Arinze Onuaku,2016-2017,REG,Magic,8,3.54,0.50,0.25,0.50,0.75,0.25,0.00,0.13,0.25,0.38,0.25,0.50,0.500,0.00,0.00,0.000,0.00,0.00,0.000
Michael Gbinije,2016-2017,REG,Pistons,9,3.51,0.44,0.22,0.11,0.33,0.22,0.00,0.00,0.00,0.22,0.11,1.11,0.100,0.00,0.44,0.000,0.22,0.22,1.000
John Lucas III,2016-2017,REG,Timberwolves,5,2.14,0.40,0.00,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.20,0.80,0.250,0.00,0.20,0.000,0.00,0.00,0.000
Aaron Harrison,2016-2017,REG,Hornets,5,3.31,0.20,0.00,0.60,0.60,0.60,0.00,0.00,0.00,0.40,0.00,0.80,0.000,0.00,0.40,0.000,0.20,0.40,0.500
Patricio Garino,2016-2017,REG,Magic,5,8.62,0.00,0.20,1.20,1.40,0.00,0.00,0.00,0.60,0.80,0.00,1.40,0.000,0.00,1.00,0.000,0.00,0.00,0.000
RJ Hunter,2016-2017,REG,Bulls,3,3.05,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.000,0.00,0.33,0.000,0.00,0.00,0.000
Danuel House,2016-2017,REG,Wizards,1,0.83,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.000
Ben Bentil,2016-2017,REG,Mavericks,3,3.29,0.00,0.00,0.67,0.67,0.00,0.00,0.00,0.33,0.33,0.00,1.00,0.000,0.00,0.33,0.000,0.00,0.00,0.000
